listing_id,source,address,suburb,state,postcode,council_area,region,distance_to_cbd_km,lat,lon,property_type,bedrooms,bathrooms,car_spaces,toilets,land_size,building_area,year_built,has_pool,has_garage,sale_price,price_raw_aud,sale_date,sale_method,days_on_market,inspection_note,agent_name,agency_name,agent_phone,rba_cash_rate_pct,market_sentiment,market_context,suburb_median_price,auction_clearance_rate_pct,weekly_rent_aud,property_count_suburb
AU-005614,domain.com.au,107 Brown Place,RINGWOOD,victoria,2810,Maroondah,Eastern Metropolitan,,-38.447903,,house,4,2 bath,3,2.0,860 square metres,,1909.0,,,"$988,000",988000,14/06/2022,PS,45,,Woodards,,03 6515 6820,0.85,Falling,RBA hikes 50bp to 0.85%; Sydney -1.0% in month; Melbourne -0.7%; panic sets in,856000.0,50.0,940.0,2356.0
AU-000816, REA,93 Station Ave,Prahran,vic,3181,Stonnington,Inner South,4.5,-37.76588,144.620495,flat,3,2,2,2.0,1504,450.0,1900.0,,True,"$501,000",501000,Mar-21,passed in,31,By appointment,Marshall White,Marshall White,,0.1,FOMO,Strongest monthly growth in 32 years; buyers waiving conditions,1127000.0,,,6984.0
AU-008030,domain.com.au,97 Jones Parade,bendigo,VIC,3550,Greater Bendigo,Regional VIC,150.0,-38.253941,145.015106,unit duplex,2,3,1,,,235sqm,1907.0,N,,"$194,000",,05 March 2023,AUC,37,,Stockdale & Leggo,Stockdale & Leggo,03 2902 1986,3.6,Recovering,Prices tick up nationally; migration at record highs; rental crisis deepens,374000.0,62.0,,4584.0
AU-005586,Domain,110 King Court,Box Hill,victoria,3128,Whitehorse,Eastern Metropolitan,14.0,,,Flat,4,2,2,2.0,783m2,,1966.0,false,Y,"$738,000",738000,12-06-2022,PI,49,,PRD,PRD,03 2528 6195,0.85,Falling,RBA hikes 50bp to 0.85%; Sydney -1.0% in month; Melbourne -0.7%; panic sets in,1101000.0,50.0,490.0,4705.0
AU-003028,Domain ,125 Park Pl,South Yarra,vic.,3141,Stonnington,Inner South,3.5,,145.32949,Hse,5,2,,2.0,1608,327.0,2017.0,False,yes,"$1,620,000",1620000,24/10/21,Expression of Interest,27,High demand – multiple offers,MCGRATH,McGrath,,0.1,Strong,Melbourne 262-day lockdown ends; explosive post-lockdown release; record auctions,1645000.0,72.0,1200.0,
AU-002824,Domain,10 Station Avenue,doncaster,V.I.C,3108,MANNINGHAM,Eastern Metropolitan,14.5 km,,145.183304,house,5,1,,,0.0785 ha,,1938.0,0,Y,"$1,502,000",1502000,,passed in,,Virtual tour available,Hocking Stuart,Hocking Stuart,03 3232 9900,0.1,Recovering,NSW roadmap out of lockdown announced; confidence begins recovering,1220000.0,58.0,1230.0,1842.0
AU-003812,Domain ,165 Railway Parade,toorak,vic.,3142,Stonnington,Inner East,6.0,-37.570034,145.201325,house ,6,3 bath,,3.0,1525,,2012.0,,0,4272000,4272000,2021-12-02,A,28,,McGrath,McGrath,,0.1,Strong,,3808000.0,,3910.0,
AU-001630,realestate.com.au,,Frankston,victoria,,Frankston,Southern Metropolitan,40.0,-38.360422,144.923541,APT,2,2,2,2.0,917.0,210.0,2017.0,N,Yes,"$303,000",303000,21/05/21,PS,,,Barry Plant,Barry Plant,,0.1,FOMO,,615000.0,76.0,210.0,4375.0
AU-005435,realestate.com.au,77 Oak Cres,Blacktown,N.S.W,2148,Blacktown,Western Sydney,33.0,,,VILLA,3,1,2,2.0,,,,,1,"$640,000",640000,2022/05/25,Auction,38,,Ray White,Ray White,02 4754 8494,0.35,Turning,RBA hikes 25bp to 0.35% — first hike in 11 years; clearance rates fall sharply,,56.6,,14985.0
AU-007205,REA,105 Main Parade,Dandenong,Vic,3175,Greater Dandenong,,30.0,-38.298612,144.939607,HOUSE,,2,2,2.0,897.0,325.0,,true,Yes,"$547,000",547000,Dec-22,S,36,Open Saturday,PRD,,03 3114 4488,3.1,Cautious,RBA signals slower pace; year closes with prices well off 2021 peak,534000.0,52.0,510.0,
AU-008724,realestate.com.au,116 High Place,Camberwell,Victoria,3124,,,9.5,-37.945668,144.558163,townhouse,3,1,1,1.0,165.0,182.0,1966.0,N,true,$1422k,1422000,2023/05/08,AUC,37,Inspect Sat/Sun,Biggin & Scott,Biggin & Scott,03 7239 5393,3.85,Improving,,1584000.0,66.0,,12208.0
AU-008565,Agent Website,155 High St,Bendigo,vic.,3550,Greater Bendigo,Regional VIC,150.0 km,-38.055488,,House,6,1,2,,352.0 sqm,453.0,1955.0,0,True,441000,441000,,Private Sale,unknown,Open Saturday,McGrath,McGrath,03 7180 3184,3.85,Improving,RBA pauses; market reads it as peak; buyer confidence returns,,66.0,370.0,8563.0
AU-003022,Domain ,46 Smith Street,Hawthorn,V.I.C,3122,,Inner East,6.5,-37.837775,144.563429,HOUSE,1,1,2,,707,,,false,Y,"$15,459.161968440629",,06/10/2021,Passed In,16,High demand – multiple offers,Nelson Alexander,Nelson Alexander,03 9622 6969,0.1,Strong,Melbourne 262-day lockdown ends; explosive post-lockdown release; record auctions,1880000.0,72.0,,12573.0
AU-003314, REA,191 High Dr, Officer,V.I.C,3809,Cardinia,Eastern Metropolitan,50.0,-38.433838,144.83735,House/Cottage,4.0,2,,2.0,925.0,148sqm,1919.0,,true,"$640,000",,21 October 2021,S,34,First open after lockdown,Ray White,Ray White,03 7414 3630,0.1,Strong,Melbourne 262-day lockdown ends; explosive post-lockdown release; record auctions,611000.0,,,
AU-008803, REA,82 Park Pde,Sunnybank,qld,4109,Brisbane,Brisbane Outer,14.0,-33.709835,151.311371,h,06,1,,,1426,226.0,1995.0,No,,"$704,000",704000,30/06/23,Auction,37,,Stockdale & Leggo,Stockdale & Leggo,02 9867 2588,4.1,Resilient,Surprise RBA hike to 4.10%; prices still rising on supply shortage,702000.0,72.7,,6276.0
AU-005889, REA,29 Railway Court,Surry Hills,nsw,2010,Sydney,Inner Sydney,3.0,-33.907254,150.60705,HOUSE,4,1,2,1.0,1958,262.0,,false,True,"Offers Over $23,400,000",23405421.87714128,27/07/22,S,,By appointment,Fletchers,fletchers,02 3809 2617,1.35,Falling,RBA hikes 50bp to 1.35%; prices falling across all capitals; listings rise,,50.5,,8271.0
AU-007756,Domain,193 Jones Rd,Liverpool,nsw.,2170,Liverpool,Western Sydney,30.0,,150.712288,HOUSE,six,1,1,1.0,1981.0 sqm,,,0,yes,"$719,000",719000,20/02/2023,Private Treaty,,,Raine & Horne,Raine & Horne,02 6321 7273,3.35,Stabilising,RBA hikes 25bp; but prices begin recovering against expectations,673000.0,65.9,,9650.0
AU-009638,Domain,68 Park Avenue,,nsw,2148,Blacktown,Western Sydney,33.0,-33.542537,,Residential House,,1,0,2.0,1662.0 sqm,388.0,,0,N,"$669,000.00",669000,14-08-2023,AUC,40,By appointment,Hocking Stuart,Hocking Stuart,02 9936 4055,4.1,Resilient,Affordability stress growing; first-home buyers retreating,,,370.0,
AU-002237,Domain ,79 Jones Parade,PENRITH,nsw,2750,Penrith,Western Sydney,52.0,-33.518989,151.236768,House,2,3,2,3.0,0.1456 ha,,1984.0,true,Yes,"$507,000",507000,05/07/2021,private sale,31,,Woodards,Woodards,02 7876 8716,0.1,Mixed,Melbourne lockdown #5; Sydney Delta lockdown begins; auction volumes drop,781000.0,79.7,380.0,12400.0
AU-010262, ,36 Park Ct,Officer,Victoria,3809,Cardinia,Eastern Metropolitan,50.0 km,,144.859283,Apartment,1,1,1,1.0,1441.0,177.0,1970.0,true,Yes,"$199,000",199000,2023/10/14,AUC,none,By appointment,First National,,03 8538 2077,4.1,Steady,Market holding; listing volumes rising in Sydney/Melbourne,551000.0,63.0,170.0,7335.0
AU-003047,REA,77 Victoria Dr,liverpool,nsw.,3508,Liverpool,Western Sydney,30.0,-33.920945,150.595325,Residential House,6,1,1,1.0,425,,1908.0,false,Yes,"$778,000",778000,Oct-21,A,22,,PRD,prd,02 3549 8046,0.1,Strong,Melbourne 262-day lockdown ends; explosive post-lockdown release; record auctions,799000.0,76.0,,1006.0
AU-004546, REA,6 Oak Drive,Epping,Vic,3076,WHITTLESEA,,,,145.474772,TOWNHOUSE,1.0,1,0 car,1.0,1487.0,166.0,1998.0,0,0,"$400,000",400000,13/02/2022,Private Sale,38,Inspect Sat/Sun,Fletchers,Fletchers,03 1713 7094,0.1,Cooling,Rate hike expectations building; APRA buffer at 3%; early signs of softening,686000.0,,,10146.0
AU-005698,REA,176 High Cres,Parramatta,nsw,2150,Parramatta,Western Sydney,23.0,-33.745081,151.334317,TownHouse,3,1,2,1.0,,190.0,1945.0,false,true,"$890,000",890000,27 Jun 2022,S,39,,Stockdale & Leggo,stockdale & leggo,,0.85,Falling,RBA hikes 50bp to 0.85%; Sydney -1.0% in month; Melbourne -0.7%; panic sets in,912000.0,55.1,790.0,1190.0
AU-010597,Domain ,167 Queen Cres,Frankston ,vic.,3199,Frankston,Southern Metropolitan,40.0,-38.044023,144.997454,flat,3 bed,1,3,1.0,1729,190.0,2006.0,0,True,"$327,000",327000,Dec-23,private sale,,,Marshall White,Marshall White,03 9735 4789,4.35,Cautious,Year closes +8.1% nationally; below 2021 but well above 2022 trough,582000.0,,290.0,12556.0
AU-003108,Domain,60 King Cres,Sunbury,Victoria,3429,Hume,Northern Metropolitan,40.0,-38.078902,145.411081,Town House,1,2,1,2.0,,348.0,1916.0,N,yes,"$299,000",299000,2021-10-15,private sale,--,Post-lockdown release – inspect Saturday,Ray White,Ray White,03 7967 5796,0.1,Strong,Melbourne 262-day lockdown ends; explosive post-lockdown release; record auctions,599000.0,72.0,,480.0
AU-010479, REA,71 King Drive,doncaster,victoria,4403,Manningham,Eastern Metropolitan,14.5,-37.813668,145.288101,Hse,5,1,1,1.0,,,2001.0,yes,,"$1,591,000",1591000,05 November 2023,Private Treaty,,,,Noel Jones,03 7280 9892,4.35,Cautious,RBA final hike to 4.35%; clearance dips on rate shock; sentiment softens,1109000.0,62.0,1470.0,
AU-003685,Domain ,117 King Ct,Richmond,vic,3121,Yarra,Inner Melbourne,3.0,-38.306841,144.716546,HOUSE,2,2,,3.0,,122.0,2010.0,0,True,"$1,480,000",,09 November 2021,S,,,Raine & Horne,Raine & Horne,03 3286 9872,0.1,FOMO,"Melbourne median hits record $1,094k; Sydney above $1.3M; national +24.5% YoY",1481000.0,76.0,,5399.0
AU-004469,Agent Website,, St Kilda,V.I.C,03182,Port Phillip,Inner South,,-37.685112,144.572323,HOUSE,3,1,1,1.0,1230.0,176.0,1958.0,No,yes,Contact Agent,1119000,,auction,25,,Buxton,Buxton,03 4981 4073,0.1,Cooling,Rate hike expectations building; APRA buffer at 3%; early signs of softening,,70.0,,12386.0
AU-008527,Domain ,100 Railway Dr,Chatswood ,New South Wales,,Willoughby,Inner Sydney,10.0,-33.951694,,villa,2,3,0,,745,,1907.0,,,"$1,510,000",,23/05/23,PI,,Open Saturday,Hocking Stuart,Hocking Stuart,02 5606 1915,3.85,Improving,RBA pauses; market reads it as peak; buyer confidence returns,2044000.0,,,13362.0
AU-004794,Domain,140 Victoria Ct,Parramatta,N.S.W,2150,Parramatta,Western Sydney,23.0,-33.71111,151.443959,townhouse,3.0,1,1,,,,1927.0,No,True,"$688,000",n/a,2022/03/29,A,38,,Biggin & Scott,biggin & scott,02 8955 5153,0.1,Cautious,Ukraine war drives global inflation; RBA under pressure; Sydney falls 0.2%,961000.0,75.6,,10834.0
AU-003357,domain.com.au,99 Queen Pl,Blacktown,nsw.,2148,Blacktown,,33.0,-33.826139,151.313856,duplex,5,2 bath,3,2.0,1735.0 sqm,117.0,,False,1,"$696,000",696000,29/10/21,Auction,,,First National,First National,02 4640 5254,0.1,Strong,Melbourne 262-day lockdown ends; explosive post-lockdown release; record auctions,834000.0,81.3,420.0,
AU-007234, REA,180 King Ct,Brighton,Victoria,3186,,Southern Metropolitan,12.0,-38.463137,144.886455,Duplex,3,1,NA,1.0,0.191ha,121.0,1971.0,False,True,"$1,872,000",1872000,"Dec 23, 2022",Private Sale,40,Open Saturday,Century 21,Century 21,03 4276 4331,3.1,Cautious,RBA signals slower pace; year closes with prices well off 2021 peak,2075000.0,52.0,1520.0,6354.0
AU-005583,REA,54 Railway Cres,FOOTSCRAY,V.I.C,3011,,Western Metropolitan,6.0,-37.633168,,unit,5,2 bath,1,2.0,664.0 sqm,,2099.0,N,Yes,"$463,000",463000,Jun-22,A,40,Open Saturday,PRD,PRD,03 3360 6900,0.85,Falling,RBA hikes 50bp to 0.85%; Sydney -1.0% in month; Melbourne -0.7%; panic sets in,,50.0,,7822.0
AU-006931,REA,33 Main Pde,Craigieburn,Victoria,3064,Hume,Northern Metropolitan,26.0,,,Residential House,5,1,2,2.0,369,,2003.0,no,yes,"$521,000",NA,28-11-2022,Passed In,43,,Raine & Horne,Raine & Horne,03 1813 9956,2.85,Weak,National prices -6% from peak; Melbourne -7%; clearance slowly recovering,529000.0,,,1952.0
