Employee_ID,Age,Department,Work_Arrangement,Weekly_Hours,Productivity_Score,Years_at_Company,Education_Level,Gender,Job_Level,Satisfaction_Score,Training_Hours
29,46,Sales,In-Office,31,5.5,9,High School,Female,Entry,8.4,27
30,48,Finance,In-Office,39,1.1,9,PhD,Female,Entry,6.5,25
31,63,Finance,Remote,31,1.1,20,Bachelor,Male,Entry,5.0,17
32,49,Finance,In-Office,45,4.2,14,Bachelor,Male,Entry,9.5,18
33,37,Sales,Remote,45,9.3,16,Master,Female,Mid,1.4,2
34,36,Sales,Remote,48,3.1,5,Bachelor,Male,Mid,8.7,8
35,65,Finance,Remote,36,6.7,2,High School,Female,Mid,10.0,35
36,24,Marketing,Remote,41,3.0,12,Bachelor,Other,Entry,9.0,30
37,58,HR,In-Office,44,3.9,15,Bachelor,Female,Senior,8.3,48
38,28,HR,In-Office,37,8.6,7,Bachelor,Female,Entry,4.4,16
39,42,HR,Remote,35,7.6,14,Bachelor,Female,Senior,3.1,22
40,30,Sales,In-Office,39,1.9,16,High School,Female,Senior,7.6,33
41,60,Sales,In-Office,32,4.9,16,Bachelor,Male,Mid,3.7,40
42,39,Marketing,Remote,48,1.3,12,Master,Male,Mid,2.6,40
43,25,HR,In-Office,46,5.3,16,Master,Male,Senior,8.1,4
44,46,HR,Remote,36,7.0,5,Master,Female,Entry,3.8,14
45,35,Finance,Remote,50,2.1,16,Master,Male,Mid,9.2,46
46,30,Sales,In-Office,49,3.6,15,Bachelor,Male,Mid,8.6,2
47,47,HR,In-Office,33,4.6,13,Master,Male,Entry,8.6,18
48,23,Marketing,In-Office,43,9.3,12,High School,Female,Senior,7.9,27
49,41,Marketing,Remote,49,9.9,5,Bachelor,Other,Senior,8.9,2
50,49,HR,Remote,44,1.4,2,Bachelor,Other,Senior,8.3,37
51,28,Sales,In-Office,37,7.8,13,High School,Female,Entry,6.4,3
52,65,Marketing,In-Office,50,4.3,13,Master,Female,Entry,3.7,23
53,29,Finance,In-Office,44,4.5,14,Master,Female,Mid,9.0,30
54,56,Marketing,In-Office,49,7.8,7,Bachelor,Female,Entry,8.6,44
55,35,IT,Remote,43,9.3,14,Master,Female,Mid,5.3,44
56,38,IT,In-Office,38,9.6,12,High School,Male,Mid,1.4,10
57,57,Sales,Remote,37,6.2,16,Bachelor,Female,Mid,6.7,36
58,61,HR,Remote,46,4.2,20,Bachelor,Male,Mid,1.5,0
59,25,Sales,In-Office,31,8.1,2,Bachelor,Male,Mid,9.3,8
60,23,Sales,In-Office,32,3.3,5,Master,Female,Entry,9.7,16
61,27,Sales,In-Office,37,6.1,4,Master,Male,Entry,2.7,0
62,63,Sales,Remote,41,4.2,16,Master,Male,Mid,7.1,2
63,25,Finance,In-Office,30,6.9,1,Bachelor,Female,Mid,1.8,46
64,50,Finance,In-Office,39,3.2,14,Master,Male,Senior,7.6,25
65,39,Marketing,Remote,49,2.7,4,High School,Female,Senior,4.1,30
66,47,IT,In-Office,32,9.3,19,Master,Female,Manager,7.1,25
67,65,Sales,Remote,35,1.9,5,Bachelor,Female,Entry,4.4,22
68,55,Marketing,In-Office,36,5.6,5,High School,Female,Entry,2.3,29
69,31,IT,Remote,49,3.0,17,Bachelor,Female,Entry,4.7,9
70,57,HR,In-Office,47,1.4,17,Bachelor,Female,Mid,2.0,7
71,35,Finance,In-Office,40,1.3,3,Bachelor,Female,Mid,6.2,43
72,52,IT,Remote,48,2.6,16,Bachelor,Female,Senior,1.4,24
73,36,HR,Remote,34,8.8,13,High School,Female,Mid,5.7,21
74,29,IT,In-Office,48,3.5,13,High School,Female,Senior,9.0,14
75,35,Finance,Remote,40,9.6,12,High School,Male,Senior,8.5,40
76,44,Finance,Remote,41,6.2,6,Bachelor,Male,Entry,8.9,9
77,61,Marketing,Remote,39,4.9,11,High School,Female,Mid,9.3,19
78,42,Sales,Remote,37,6.2,14,Bachelor,Male,Mid,1.9,40
79,37,IT,In-Office,38,5.7,18,Bachelor,Male,Entry,2.2,46
80,39,IT,In-Office,33,7.8,10,Master,Female,Mid,6.0,22
81,45,HR,Remote,34,3.5,14,Master,Male,Mid,9.0,0
82,47,Finance,Remote,50,4.2,11,Bachelor,Male,Entry,9.8,1
83,46,IT,Remote,37,9.0,2,Master,Other,Mid,1.4,18
84,62,Finance,Remote,38,9.5,16,Master,Female,Mid,4.2,13
85,50,IT,In-Office,44,9.0,2,PhD,Male,Entry,2.9,7
86,36,Marketing,In-Office,44,4.8,18,Bachelor,Other,Mid,7.8,37
87,22,Sales,Remote,45,8.0,19,High School,Other,Entry,6.8,11
88,46,IT,Remote,43,5.3,3,Bachelor,Male,Mid,2.1,25
89,28,Finance,Remote,37,5.5,2,Bachelor,Male,Entry,5.4,26
90,30,Marketing,In-Office,47,2.8,15,Bachelor,Female,Senior,7.2,28
91,45,IT,Remote,39,6.3,11,Bachelor,Female,Mid,8.0,14
92,22,HR,In-Office,49,2.7,7,Master,Female,Entry,1.2,45
93,65,Sales,Remote,35,4.0,16,PhD,Female,Mid,9.0,0
94,29,IT,In-Office,41,8.7,6,Bachelor,Female,Mid,6.1,42
95,45,Marketing,Remote,31,2.9,10,High School,Male,Mid,8.3,27
96,32,HR,In-Office,36,1.6,17,High School,Female,Mid,8.3,2
97,38,Marketing,Remote,45,1.6,0,Master,Male,Mid,2.7,50
98,29,Marketing,Remote,32,9.5,2,Bachelor,Female,Entry,2.0,17
99,56,HR,Remote,42,5.6,3,Bachelor,Female,Entry,7.5,33
100,56,Marketing,In-Office,32,4.7,12,Bachelor,Male,Mid,2.4,31
101,54,HR,Remote,47,8.3,5,Bachelor,Female,Mid,8.6,28
102,26,IT,In-Office,40,8.5,13,Bachelor,Male,Entry,7.5,24
103,63,HR,In-Office,37,4.0,4,Bachelor,Male,Senior,8.6,25
104,60,HR,Remote,35,7.2,15,Master,Female,Entry,3.7,38
105,62,Sales,Remote,30,7.9,14,PhD,Male,Senior,3.8,7
106,49,HR,Remote,30,6.9,14,Master,Female,Entry,7.0,18
107,28,HR,In-Office,37,2.4,3,Master,Male,Entry,1.3,46
108,30,IT,Remote,34,8.9,7,Bachelor,Female,Senior,7.5,41
109,29,Sales,In-Office,45,5.9,15,Bachelor,Female,Entry,8.5,21
110,33,Finance,In-Office,40,3.5,15,Master,Female,Senior,4.7,28
111,55,IT,Remote,34,4.8,3,Master,Female,Entry,7.9,32
112,54,IT,Remote,33,1.3,12,High School,Female,Mid,2.6,37
113,44,Finance,Remote,35,2.2,12,Bachelor,Male,Senior,3.9,44
114,45,HR,Remote,43,7.9,1,High School,Male,Entry,9.8,45
115,58,Marketing,Remote,48,1.0,2,Bachelor,Male,Senior,9.9,34
116,56,Sales,Remote,38,4.7,7,Bachelor,Male,Mid,5.6,42
117,65,Marketing,In-Office,41,5.7,14,Bachelor,Female,Mid,9.4,2
118,61,Finance,In-Office,40,1.5,10,High School,Male,Mid,5.7,18
119,43,IT,In-Office,43,9.8,8,Bachelor,Female,Senior,3.6,9
120,48,IT,Remote,45,3.0,6,Master,Female,Entry,3.4,26
121,56,Sales,In-Office,30,3.7,12,Bachelor,Male,Entry,9.4,14
122,22,IT,In-Office,42,3.7,1,Bachelor,Female,Senior,2.6,10
123,56,IT,In-Office,50,3.1,7,Bachelor,Male,Senior,6.2,46
124,58,Sales,In-Office,50,1.0,6,Master,Female,Entry,6.0,25
125,35,Sales,In-Office,42,7.6,11,High School,Male,Mid,7.7,23
126,24,Finance,Remote,31,9.7,18,PhD,Female,Mid,5.5,12
127,22,IT,Remote,33,3.0,6,Bachelor,Other,Mid,3.5,31
128,26,IT,In-Office,35,7.0,9,PhD,Male,Entry,2.5,36
129,47,Finance,In-Office,34,7.7,15,Master,Male,Mid,6.6,3
130,35,HR,In-Office,32,8.6,2,Bachelor,Female,Entry,7.5,12
131,60,HR,Remote,30,4.8,9,High School,Male,Senior,6.1,8
132,48,HR,Remote,33,3.7,5,Bachelor,Female,Senior,7.6,48
133,30,Finance,In-Office,49,3.9,17,Bachelor,Female,Mid,2.3,33
134,36,IT,Remote,31,7.4,17,High School,Male,Entry,8.9,36
135,36,Finance,Remote,34,8.4,4,High School,Female,Entry,6.2,47
136,47,Finance,In-Office,32,2.6,20,Bachelor,Female,Mid,2.1,6
137,63,HR,Remote,38,4.3,6,High School,Female,Mid,5.2,0
138,34,Marketing,Remote,49,9.1,1,High School,Female,Entry,8.6,11
139,53,IT,In-Office,35,8.3,10,Bachelor,Male,Mid,9.1,20
140,60,HR,Remote,47,9.9,12,High School,Male,Entry,3.4,10
141,53,Marketing,Remote,35,7.8,4,Bachelor,Other,Entry,7.4,43
142,25,Marketing,In-Office,48,4.5,5,Bachelor,Female,Entry,1.9,50
143,51,Sales,Remote,41,6.3,13,Bachelor,Male,Entry,1.3,43
144,58,IT,Remote,40,6.9,11,Master,Female,Entry,6.0,43
145,44,Marketing,In-Office,31,1.7,3,Bachelor,Male,Mid,7.3,13
146,60,HR,In-Office,44,5.9,5,Bachelor,Male,Senior,8.2,33
147,36,Sales,In-Office,41,7.4,9,Bachelor,Female,Senior,4.1,33
148,64,IT,Remote,41,2.5,17,Master,Male,Entry,1.1,24
149,50,Finance,In-Office,38,8.0,14,Master,Female,Entry,5.3,3
150,57,HR,Remote,50,6.3,7,Master,Male,Entry,1.1,25
151,34,Marketing,In-Office,31,9.6,8,Bachelor,Female,Entry,1.8,15
152,53,Marketing,Remote,32,1.4,4,High School,Male,Mid,3.9,9
153,28,HR,In-Office,41,3.4,9,Bachelor,Female,Mid,4.9,44
154,43,Marketing,In-Office,45,6.4,19,High School,Female,Entry,3.5,1
155,49,Sales,In-Office,50,3.7,5,Master,Male,Entry,6.2,34
156,23,IT,In-Office,30,7.4,15,Bachelor,Female,Entry,1.5,18
157,63,Sales,Remote,50,7.8,2,Master,Male,Entry,2.3,5
158,27,Marketing,In-Office,32,1.9,9,Bachelor,Male,Mid,7.3,18
159,49,Finance,In-Office,49,5.6,10,Master,Female,Entry,2.3,50
160,49,IT,Remote,31,5.6,10,Bachelor,Male,Mid,6.8,7
161,65,IT,In-Office,38,4.3,16,High School,Female,Mid,1.5,13
162,65,HR,Remote,48,9.4,3,Bachelor,Female,Senior,4.7,9
163,41,HR,In-Office,44,8.4,3,Bachelor,Female,Senior,2.6,2
164,51,Finance,In-Office,47,7.3,16,Bachelor,Male,Mid,2.0,37
165,32,IT,In-Office,40,7.4,8,Master,Male,Entry,6.1,28
166,49,Finance,Remote,45,5.2,18,High School,Male,Mid,9.4,14
167,46,HR,In-Office,46,9.3,4,Bachelor,Female,Senior,1.5,22
168,60,HR,In-Office,34,7.3,5,Bachelor,Female,Entry,4.8,22
169,54,IT,In-Office,41,7.6,2,Bachelor,Female,Mid,7.4,17
170,22,Sales,Remote,40,8.8,0,Master,Male,Senior,5.2,45
171,48,Marketing,Remote,44,3.5,19,Master,Male,Mid,8.3,18
172,34,HR,In-Office,32,8.3,15,Master,Male,Entry,2.6,27
173,62,HR,Remote,30,2.8,10,Master,Male,Entry,9.6,25
174,24,Sales,In-Office,49,4.1,12,Master,Male,Mid,4.5,9
175,60,Sales,In-Office,45,4.0,9,Bachelor,Male,Entry,4.1,46
176,27,Finance,In-Office,31,9.8,2,Master,Male,Mid,8.9,3
177,29,Finance,In-Office,31,8.7,8,Bachelor,Male,Mid,6.1,1
178,48,Marketing,In-Office,32,7.3,11,Bachelor,Male,Entry,5.6,2
179,30,Marketing,In-Office,37,7.5,13,High School,Male,Senior,7.5,6
180,58,IT,In-Office,44,6.1,0,Master,Male,Mid,6.2,15
181,54,Finance,Remote,36,9.5,17,Master,Male,Entry,2.5,30
182,63,HR,Remote,35,5.5,16,Bachelor,Female,Senior,7.1,9
183,65,Finance,Remote,38,4.4,8,Master,Male,Senior,2.2,18
184,45,HR,Remote,49,2.5,8,Master,Male,Mid,8.3,27
185,36,Sales,Remote,30,8.1,9,High School,Male,Senior,9.9,16
186,53,Finance,Remote,37,7.6,18,Bachelor,Male,Mid,4.4,27
187,53,Sales,Remote,32,4.5,14,Master,Male,Senior,5.0,18
188,45,Marketing,In-Office,33,1.2,4,Bachelor,Male,Mid,1.4,36
189,62,Marketing,In-Office,44,8.6,14,Bachelor,Female,Mid,1.1,22
190,33,IT,In-Office,35,1.1,19,High School,Male,Manager,9.3,19
191,60,Finance,In-Office,44,7.3,1,Bachelor,Male,Mid,2.2,12
192,23,Sales,Remote,50,9.7,12,Master,Female,Entry,5.0,12
193,24,HR,Remote,32,4.9,15,Bachelor,Male,Mid,8.3,42
194,58,Marketing,In-Office,50,3.1,14,Master,Male,Mid,9.0,10
195,38,Marketing,In-Office,50,7.3,9,Master,Female,Entry,5.7,47
196,23,HR,Remote,43,8.4,13,Master,Female,Manager,6.1,14
197,23,Sales,In-Office,49,5.9,9,Bachelor,Male,Entry,7.0,16
198,49,Sales,In-Office,43,9.7,13,High School,Female,Entry,9.7,49
199,44,Finance,In-Office,33,1.5,8,Bachelor,Male,Senior,6.4,27
200,58,Finance,In-Office,41,5.5,13,High School,Male,Mid,6.0,18
201,53,IT,Remote,46,7.5,2,Master,Female,Entry,1.1,3
202,54,Marketing,In-Office,36,8.8,19,Bachelor,Male,Mid,1.7,21
203,22,Finance,In-Office,38,2.6,15,Bachelor,Male,Mid,6.2,21
204,40,Sales,Remote,32,8.2,1,Bachelor,Female,Entry,9.4,36
205,23,HR,Remote,42,6.0,9,Master,Female,Manager,8.8,38
206,65,Sales,In-Office,44,4.6,2,Master,Male,Mid,9.8,33
207,47,Marketing,Remote,47,2.2,10,Bachelor,Female,Mid,5.8,32
208,53,Sales,In-Office,48,8.8,10,Master,Male,Mid,8.1,43
209,27,IT,In-Office,30,2.4,20,Bachelor,Female,Mid,8.6,41
210,53,Marketing,Remote,35,3.8,20,Bachelor,Male,Entry,6.8,39
211,25,HR,In-Office,31,3.6,12,Master,Male,Entry,4.0,32
212,32,IT,In-Office,43,8.8,6,Bachelor,Male,Mid,5.2,11
213,38,Marketing,In-Office,35,7.1,16,PhD,Male,Senior,8.7,1
214,59,HR,In-Office,43,8.2,1,High School,Male,Entry,3.7,27
215,45,IT,Remote,33,3.3,11,High School,Female,Mid,9.3,9
216,26,IT,Remote,50,6.6,9,Master,Female,Senior,3.1,21
217,55,Marketing,In-Office,37,6.1,17,High School,Male,Entry,7.7,16
218,27,Finance,Remote,32,8.5,10,PhD,Male,Entry,6.7,25
219,43,IT,In-Office,48,9.2,15,PhD,Male,Entry,7.7,2
220,32,IT,In-Office,43,1.1,16,High School,Female,Mid,4.9,6
221,37,HR,In-Office,49,7.1,18,Bachelor,Female,Entry,9.4,43
222,54,Sales,In-Office,46,1.5,17,High School,Other,Mid,6.7,7
223,30,Marketing,In-Office,37,5.9,2,Bachelor,Female,Mid,3.6,19
224,27,Marketing,Remote,43,3.6,20,High School,Male,Mid,6.7,11
225,37,Finance,In-Office,35,3.8,15,Bachelor,Male,Entry,3.6,34
226,50,Finance,Remote,45,4.2,5,Bachelor,Female,Mid,3.6,16
227,24,Marketing,Remote,48,6.6,11,Bachelor,Female,Senior,4.6,27
228,41,Finance,In-Office,43,4.0,10,PhD,Male,Senior,8.7,40
229,57,HR,In-Office,48,7.6,14,Master,Male,Senior,5.5,9
230,40,Marketing,In-Office,32,4.6,14,Master,Female,Mid,7.1,21
231,47,Finance,In-Office,39,1.6,15,Bachelor,Male,Mid,4.5,37
232,24,Marketing,In-Office,48,8.1,9,Master,Male,Entry,3.4,32
233,40,Sales,Remote,38,3.6,11,Bachelor,Female,Entry,9.6,21
234,41,IT,In-Office,49,4.9,12,Master,Male,Entry,6.4,43
235,53,Marketing,In-Office,42,7.2,3,PhD,Male,Mid,9.4,36
236,28,IT,Remote,36,4.0,6,Bachelor,Female,Entry,2.8,12
237,62,Finance,Remote,43,1.5,1,Bachelor,Female,Entry,2.3,26
238,54,IT,In-Office,38,4.4,14,Master,Other,Manager,8.7,14
239,61,Marketing,Remote,48,9.5,7,Master,Male,Entry,7.1,21
240,60,Sales,In-Office,44,6.8,6,Master,Male,Entry,2.7,29
241,39,Finance,Remote,49,7.0,14,Bachelor,Female,Entry,3.4,42
242,61,Marketing,Remote,43,6.7,13,Bachelor,Female,Mid,8.2,39
243,22,Finance,In-Office,35,2.8,7,High School,Male,Mid,5.1,36
244,32,HR,Remote,50,4.8,11,Master,Female,Entry,7.0,33
245,49,IT,Remote,33,7.8,12,High School,Male,Mid,3.9,43
246,46,HR,Remote,37,1.9,10,Master,Male,Senior,4.4,33
247,44,Marketing,Remote,46,3.5,16,High School,Male,Senior,9.9,47
248,52,Sales,Remote,38,3.5,16,High School,Male,Manager,3.2,34
249,51,Finance,Remote,30,4.9,3,Bachelor,Male,Senior,5.6,41
250,63,IT,In-Office,49,9.8,20,Master,Female,Mid,8.6,18
251,56,Finance,In-Office,43,1.6,7,High School,Female,Entry,3.2,7
252,28,Marketing,Remote,40,5.7,4,Bachelor,Female,Entry,4.7,38
253,37,Finance,In-Office,50,2.6,15,Bachelor,Male,Entry,6.5,32
254,47,IT,In-Office,32,9.7,3,Bachelor,Male,Mid,5.3,43
255,23,Marketing,In-Office,38,2.0,14,High School,Male,Senior,5.1,27
256,22,Finance,Remote,43,4.6,11,Master,Male,Mid,4.3,36
257,33,Sales,In-Office,38,7.6,4,Bachelor,Female,Entry,6.3,47
258,26,Marketing,Remote,33,7.3,15,High School,Female,Mid,6.6,24
259,58,Marketing,In-Office,33,4.8,13,Master,Female,Senior,6.9,35
260,53,Sales,Remote,37,4.1,9,PhD,Male,Mid,1.6,16
261,30,HR,Remote,31,4.6,6,Bachelor,Male,Senior,6.7,23
262,62,IT,In-Office,38,3.4,12,Bachelor,Female,Senior,9.6,20
263,56,HR,In-Office,43,2.8,19,Master,Male,Senior,5.9,1
264,40,Finance,Remote,38,5.3,4,PhD,Female,Senior,7.4,30
265,37,Sales,In-Office,45,3.4,2,Master,Other,Mid,6.0,43
266,24,HR,In-Office,46,3.6,14,Bachelor,Male,Entry,8.7,32
267,41,Marketing,In-Office,45,6.9,3,Bachelor,Female,Entry,9.4,29
268,45,Finance,Remote,41,9.7,14,Master,Female,Mid,2.7,11
269,54,Finance,Remote,32,6.4,13,High School,Male,Entry,4.9,43
270,45,HR,In-Office,40,1.7,19,Bachelor,Female,Manager,4.5,11
271,32,HR,In-Office,43,1.7,18,Master,Male,Entry,4.6,50
272,29,Sales,In-Office,47,9.6,12,Bachelor,Male,Senior,2.1,48
273,57,IT,Remote,50,3.7,9,Bachelor,Female,Entry,8.3,23
274,59,HR,Remote,50,1.8,20,Bachelor,Female,Entry,1.3,23
275,61,HR,In-Office,34,6.4,4,High School,Male,Senior,5.8,10
276,41,Marketing,In-Office,45,6.6,19,Bachelor,Male,Entry,7.0,12
277,56,Finance,In-Office,49,6.8,19,Master,Female,Entry,2.9,26
278,46,IT,In-Office,34,3.4,5,Bachelor,Female,Entry,9.2,7
279,56,Marketing,In-Office,32,1.1,3,High School,Female,Mid,8.5,9
280,46,Sales,In-Office,41,9.7,1,PhD,Male,Entry,5.2,7
281,50,Sales,Remote,30,3.3,15,Bachelor,Female,Mid,4.7,19
282,39,HR,In-Office,50,7.1,17,Bachelor,Male,Mid,3.1,7
283,39,HR,Remote,38,7.4,4,PhD,Female,Mid,7.6,8
284,23,Sales,In-Office,38,6.5,3,Master,Male,Mid,2.2,6
285,56,HR,In-Office,33,3.8,12,Bachelor,Female,Mid,7.1,13
286,37,IT,Remote,32,3.4,18,Master,Male,Entry,8.6,27
287,62,HR,Remote,46,6.4,1,High School,Male,Senior,3.1,1
288,57,Finance,Remote,31,8.8,12,Master,Male,Entry,8.8,42
289,54,HR,Remote,30,9.5,10,Bachelor,Male,Mid,1.3,7
290,25,Marketing,In-Office,37,2.0,3,Master,Female,Mid,9.2,12
291,54,IT,Remote,42,2.4,19,Bachelor,Female,Senior,2.1,20
292,35,Marketing,In-Office,44,9.5,19,Bachelor,Female,Mid,6.8,46
293,42,Marketing,Remote,37,7.6,14,Bachelor,Male,Entry,3.3,27
294,41,Finance,In-Office,41,8.9,3,Bachelor,Female,Mid,8.5,34
295,29,IT,In-Office,41,2.8,8,Master,Female,Mid,5.6,22
296,28,IT,In-Office,43,6.3,6,Bachelor,Male,Entry,2.2,45
297,24,IT,In-Office,44,7.3,18,Bachelor,Male,Mid,6.1,14
298,38,IT,In-Office,44,7.1,18,Bachelor,Female,Mid,4.7,1
299,54,IT,In-Office,38,4.7,5,Bachelor,Female,Manager,7.0,50
300,33,Finance,Remote,48,1.1,5,Master,Female,Mid,8.9,11
301,43,HR,In-Office,49,6.2,19,Master,Male,Entry,4.7,35
302,43,Marketing,Remote,37,3.3,14,Bachelor,Female,Entry,3.6,2
303,51,IT,Remote,50,5.1,14,Master,Male,Senior,1.1,4
304,59,HR,In-Office,48,9.6,19,Master,Female,Senior,6.2,2
305,59,HR,Remote,35,4.6,8,Bachelor,Female,Entry,4.6,46
306,29,Marketing,In-Office,49,8.6,3,Bachelor,Male,Entry,4.4,18
307,48,Finance,Remote,48,2.7,17,Master,Female,Mid,2.6,1
308,48,Sales,In-Office,33,7.1,17,Bachelor,Male,Entry,4.9,43
309,55,Sales,Remote,36,9.8,4,Master,Other,Entry,9.9,36
310,42,HR,In-Office,33,1.9,19,Bachelor,Male,Entry,3.7,16
311,51,Marketing,In-Office,41,1.1,10,Bachelor,Male,Entry,6.4,13
312,54,Sales,In-Office,42,4.9,4,Bachelor,Male,Mid,8.0,27
313,49,HR,In-Office,32,1.8,3,Bachelor,Male,Mid,7.7,26
314,54,Finance,Remote,41,7.7,11,PhD,Male,Entry,4.0,9
315,26,Sales,In-Office,31,9.2,1,Bachelor,Female,Entry,6.5,2
316,40,HR,Remote,31,4.9,12,Bachelor,Female,Entry,8.8,35
317,25,HR,Remote,38,3.3,9,Master,Female,Mid,1.1,37
318,56,IT,Remote,30,4.9,8,Bachelor,Male,Entry,4.9,24
319,38,Finance,In-Office,37,7.5,9,Bachelor,Female,Mid,3.0,21
320,65,IT,Remote,35,1.1,6,Master,Male,Mid,4.5,47
321,49,Marketing,Remote,35,6.3,3,Master,Female,Entry,4.7,38
322,51,IT,Remote,47,6.5,18,High School,Male,Entry,7.7,46
323,50,IT,In-Office,46,6.7,9,Bachelor,Female,Entry,1.8,29
324,27,Sales,In-Office,41,3.2,2,Bachelor,Female,Mid,5.6,20
325,56,HR,Remote,35,7.4,20,Bachelor,Female,Senior,6.1,29
326,62,Finance,In-Office,37,1.8,18,Bachelor,Male,Entry,5.4,27
327,58,IT,In-Office,48,2.8,20,Bachelor,Male,Senior,7.6,30
328,45,Finance,Remote,39,8.9,1,High School,Male,Entry,4.5,25
329,50,IT,Remote,30,7.6,19,Bachelor,Female,Senior,9.5,42
330,52,Marketing,In-Office,42,1.1,9,High School,Female,Mid,5.3,21
331,56,IT,Remote,46,3.2,1,Bachelor,Male,Mid,6.1,20
332,54,Sales,In-Office,32,2.9,1,Master,Female,Mid,8.4,0
333,42,HR,In-Office,37,3.4,16,Master,Female,Mid,3.5,36
334,53,Marketing,In-Office,43,3.2,15,Bachelor,Female,Senior,1.7,12
335,44,IT,In-Office,32,1.6,15,High School,Male,Senior,7.4,20
336,54,Finance,In-Office,45,5.1,13,Bachelor,Male,Mid,5.3,45
337,24,Marketing,In-Office,42,7.6,6,Bachelor,Male,Entry,9.1,8
338,39,Marketing,Remote,49,6.5,20,Bachelor,Female,Entry,9.8,16
339,46,IT,Remote,46,7.1,10,Bachelor,Male,Senior,4.6,46
340,63,Marketing,In-Office,42,1.7,0,Bachelor,Female,Mid,4.7,20
341,52,Finance,In-Office,35,9.6,10,Master,Female,Mid,4.7,30
342,24,Marketing,In-Office,46,8.5,20,Bachelor,Female,Mid,3.9,38
343,61,Finance,Remote,43,8.2,3,Bachelor,Female,Senior,8.0,21
344,45,IT,In-Office,46,8.4,6,Master,Male,Mid,7.8,11
345,53,HR,Remote,37,9.4,14,Bachelor,Male,Senior,5.3,5
346,43,Marketing,In-Office,40,5.9,17,High School,Female,Senior,1.4,15
347,44,HR,In-Office,49,2.8,11,Bachelor,Male,Entry,3.8,25
348,23,Finance,Remote,30,6.6,16,Bachelor,Male,Entry,3.6,4
349,48,Marketing,Remote,36,7.7,0,Master,Male,Senior,8.3,8
350,63,Sales,In-Office,50,7.6,10,Bachelor,Male,Entry,1.8,45
351,23,HR,In-Office,50,5.7,0,Bachelor,Male,Senior,8.3,39
352,47,Marketing,In-Office,46,1.6,14,Bachelor,Female,Entry,7.0,13
353,38,HR,Remote,39,4.3,20,High School,Female,Entry,7.6,43
354,61,Marketing,Remote,40,9.3,9,Master,Female,Senior,4.9,41
355,54,IT,Remote,38,6.3,6,Master,Male,Mid,7.1,29
356,30,HR,Remote,38,5.8,1,Bachelor,Male,Entry,6.5,25
357,64,Sales,Remote,34,3.4,9,Bachelor,Male,Senior,7.9,44
358,60,Sales,Remote,46,4.3,3,Bachelor,Female,Mid,5.0,28
359,50,Finance,In-Office,38,9.1,11,Master,Male,Mid,5.3,18
360,63,Marketing,In-Office,46,7.0,18,High School,Female,Entry,6.8,46
361,47,HR,Remote,50,8.1,10,High School,Female,Senior,2.0,7
362,56,Finance,In-Office,48,5.1,7,Bachelor,Male,Senior,4.9,22
363,46,HR,In-Office,36,6.7,17,Bachelor,Male,Entry,9.7,41
364,45,Marketing,Remote,38,3.2,10,Bachelor,Other,Senior,1.3,34
365,34,Sales,In-Office,36,7.3,10,High School,Other,Senior,3.8,30
